pais_id,pais,año,mes,ccp,producto,distribución,unidad_med_distribución_id,unidad_med_distribución,consumo_per_cápita,uni_med_consumu_id,uni_med_consumo _per_capita
32,Argentina,2001,9,22211,Leche en polvo entera ,7615.46,t,Toneladas,0.21,kg,Kilogramos
32,Argentina,2001,9,22212,Leche en polvo descremada,1844.56,t,Toneladas,0.05,kg,Kilogramos
32,Argentina,2001,9,22251,Quesos de baja humedad (pasta dura),5092.01,t,Toneladas,0.14,kg,Kilogramos
32,Argentina,2001,9,22251,Quesos de mediana humedad (pasta semidura),10548.57,t,Toneladas,0.28,kg,Kilogramos
32,Argentina,2001,9,22251,Quesos de alta humedad (pasta blanda),20161.29,t,Toneladas,0.54,kg,Kilogramos
32,Argentina,2001,9,22251,Queso fundido,-351.56,t,Toneladas,0,kg,Kilogramos
32,Argentina,2001,9,22222,Dulce de leche,8648.36,t,Toneladas,0.23,kg,Kilogramos
32,Argentina,2001,9,22120,Crema,2796.49,t,Toneladas,0.08,kg,Kilogramos
32,Argentina,2001,9,22222,Leche condensada,635.88,t,Toneladas,0.02,kg,Kilogramos
32,Argentina,2001,9,22241,Manteca,2967.27,t,Toneladas,0.08,kg,Kilogramos
32,Argentina,2001,9,22230,Yogur ,21206.83,t,Toneladas,0.57,kg,Kilogramos
32,Argentina,2001,9,22290,Postres lacteos y flanes,1485,t,Toneladas,0.04,kg,Kilogramos
32,Argentina,2001,10,22211,Leche en polvo entera ,7521.17,t,Toneladas,0.2,kg,Kilogramos
32,Argentina,2001,10,22212,Leche en polvo descremada,1429.21,t,Toneladas,0.04,kg,Kilogramos
32,Argentina,2001,10,22251,Quesos de baja humedad (pasta dura),5014.88,t,Toneladas,0.14,kg,Kilogramos
32,Argentina,2001,10,22251,Quesos de mediana humedad (pasta semidura),10799.54,t,Toneladas,0.29,kg,Kilogramos
32,Argentina,2001,10,22251,Quesos de alta humedad (pasta blanda),20014.76,t,Toneladas,0.54,kg,Kilogramos
32,Argentina,2001,10,22251,Queso fundido,-468.78,t,Toneladas,0,kg,Kilogramos
32,Argentina,2001,10,22222,Dulce de leche,8663.14,t,Toneladas,0.23,kg,Kilogramos
